src_country,dst_country,n,min_ms,p50_ms,p90_ms,p95_ms,max_ms,mean_ms,average_ms
CR,LV,4,173.531,184.712,189.697,189.697,189.697,180.426,180.426
CR,MD,4,189.792,198.298,205.611,205.611,205.611,196.016,196.016
CR,MK,8,-1.000,176.680,194.758,196.539,196.539,115.392,132.019
CR,MN,4,265.846,282.285,303.118,303.118,303.118,279.962,279.962
CR,MU,8,-1.000,349.489,359.154,361.477,361.477,307.180,351.206
CR,MV,4,282.750,314.554,327.267,327.267,327.267,307.235,307.235
CR,MX,22,-1.000,95.911,143.932,144.212,149.200,88.829,93.107
CR,MY,16,-1.000,304.514,322.235,322.235,328.818,267.928,285.857
CR,MZ,4,298.474,305.353,338.663,338.663,338.663,310.484,310.484
CR,NC,4,278.604,297.634,300.579,300.579,300.579,292.611,292.611
CR,NG,10,-1.000,253.637,278.670,307.199,307.199,213.376,237.196
CR,NL,240,-1.000,164.641,175.483,183.057,221.214,160.564,161.922
CR,NO,24,-1.000,178.551,189.332,193.134,193.681,162.864,169.989
CR,NP,12,-1.000,350.545,397.307,397.307,398.000,245.940,268.389
CR,NZ,26,-1.000,249.337,275.517,326.150,329.118,220.857,229.731
CR,PA,4,16.608,52.308,70.803,70.803,70.803,47.958,47.958
CR,PE,12,-1.000,118.024,143.051,143.051,143.657,102.457,111.862
CR,PG,2,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CR,PH,28,256.231,289.528,301.958,312.726,314.560,287.993,287.993
CR,PK,4,272.684,287.145,292.990,292.990,292.990,281.944,281.944
CR,PL,50,-1.000,184.699,193.539,196.694,322.340,165.274,168.667
CR,PT,14,-1.000,175.958,196.048,196.048,198.185,153.961,165.881
CR,PW,4,224.375,233.339,253.114,253.114,253.114,234.956,234.956
CR,PY,4,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CR,RO,38,-1.000,191.642,204.938,205.609,258.433,136.172,139.879
CR,RS,12,-1.000,191.380,201.875,201.875,202.543,156.430,170.742
CR,RU,72,-1.000,200.776,271.569,284.686,295.723,178.024,180.545
CR,SA,10,222.915,229.208,239.986,302.202,302.202,237.583,237.583
CR,SE,68,-1.000,173.319,182.864,186.813,196.296,163.584,166.040
CR,SG,98,-1.000,290.854,322.360,347.935,372.739,273.509,276.339
CR,SI,12,165.862,174.741,192.855,192.855,195.935,178.501,178.501
CR,SK,8,171.235,180.825,188.029,198.439,198.439,180.412,180.412
CR,SL,2,236.939,236.939,274.156,274.156,274.156,255.548,255.548
CR,SV,10,48.328,86.458,109.812,112.886,112.886,83.260,83.260
CR,TH,8,-1.000,314.375,348.887,404.729,404.729,247.607,283.122
CR,TJ,6,-1.000,263.267,279.964,289.224,289.224,182.568,219.282
CR,TR,32,-1.000,206.725,224.180,224.387,228.063,193.508,199.782
CR,TT,4,91.848,99.446,106.363,106.363,106.363,97.721,97.721
CR,TV,4,313.801,317.003,459.493,459.493,459.493,351.377,351.377
CR,TW,48,-1.000,240.095,290.910,315.252,321.135,230.958,235.893
CR,TZ,4,284.384,323.333,348.236,348.236,348.236,312.481,312.481
CR,UA,38,174.906,197.051,210.064,215.008,225.488,197.087,197.087
CR,UG,2,329.367,329.367,341.593,341.593,341.593,335.480,335.480
CR,US,572,-1.000,89.056,128.829,141.531,277.198,87.315,88.251
CR,UY,8,168.601,175.416,190.263,208.574,208.574,181.010,181.010
CR,UZ,4,-1.000,242.795,246.168,246.168,246.168,121.741,162.655
CR,VE,34,-1.000,89.346,112.850,113.111,137.078,81.962,84.476
CR,VN,12,-1.000,-1.000,323.164,323.164,342.681,131.414,396.242
CR,ZA,62,-1.000,287.080,325.853,342.922,439.126,261.744,266.051
CZ,AE,277,-1.000,126.143,205.773,275.819,382.334,120.487,121.817
CZ,AF,31,130.899,142.548,205.957,207.601,216.488,165.576,165.576
CZ,AL,16,26.002,32.312,38.915,38.915,42.944,33.101,33.101
CZ,AM,31,49.872,66.831,78.301,79.631,80.385,67.852,67.852
CZ,AO,31,146.695,193.847,209.095,209.593,215.462,186.755,186.755
CZ,AR,217,-1.000,240.799,261.920,271.117,396.547,211.522,213.499
CZ,AT,828,-1.000,9.586,20.813,27.836,299.629,12.075,12.203
CZ,AU,826,-1.000,276.665,330.368,352.807,469.265,234.417,236.719
CZ,AZ,31,58.412,72.746,80.158,84.097,89.480,73.871,73.871
CZ,BA,40,-1.000,20.751,129.564,132.702,145.140,35.444,36.378
CZ,BD,31,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CZ,BE,217,-1.000,18.781,27.720,31.812,138.202,21.981,22.195
CZ,BF,31,-1.000,-1.000,132.765,135.401,136.837,62.109,216.375
CZ,BG,308,-1.000,26.009,41.068,49.559,333.995,26.957,27.232
CZ,BH,31,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CZ,BO,31,203.996,229.117,234.963,239.820,251.501,228.447,228.447
CZ,BR,517,-1.000,209.539,232.924,244.583,435.609,174.816,176.533
CZ,BY,31,18.237,38.493,48.305,49.872,50.360,37.314,37.314
CZ,CA,708,-1.000,105.049,144.862,153.243,191.657,94.048,94.997
CZ,CH,1104,-1.000,16.831,26.888,33.687,237.053,17.168,17.351
CZ,CL,248,-1.000,227.025,256.166,260.616,375.543,213.890,215.637
CZ,CM,31,134.369,142.032,170.937,176.645,249.055,151.095,151.095
CZ,CN,124,-1.000,195.016,262.118,309.850,323.685,190.317,191.872
CZ,CO,186,-1.000,169.847,190.185,193.121,252.508,144.652,146.235
CZ,CR,93,162.388,176.377,182.664,184.452,203.981,175.789,175.789
CZ,CZ,510,-1.000,1.497,8.449,12.270,459.332,7.422,7.505
CZ,DE,3860,-1.000,12.622,23.118,27.160,292.580,13.880,14.032
CZ,DJ,62,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CZ,DK,241,-1.000,21.252,29.653,32.035,105.662,19.632,19.805
CZ,DO,124,140.448,152.075,163.400,177.057,237.833,155.312,155.312
CZ,EC,124,-1.000,186.092,202.872,205.637,229.564,167.498,168.868
CZ,EE,124,-1.000,36.502,51.301,82.576,114.396,38.910,39.234
CZ,ES,431,-1.000,39.446,50.968,52.943,146.481,33.965,34.293
CZ,FI,450,-1.000,39.174,47.956,49.603,66.076,39.159,39.519
CZ,FM,31,276.663,287.295,298.462,298.738,302.717,289.090,289.090
CZ,FR,1511,-1.000,21.036,32.531,35.036,308.866,20.556,20.772
CZ,GB,1289,-1.000,24.409,38.377,50.153,314.650,24.748,25.010
CZ,GE,89,-1.000,-1.000,72.789,78.568,107.814,22.855,77.633
CZ,GH,28,-1.000,116.562,129.355,189.574,195.747,74.110,76.892
CZ,GR,210,-1.000,30.822,46.569,50.060,194.164,27.334,27.606
CZ,GT,62,142.693,152.353,159.377,162.834,171.650,152.689,152.689
CZ,HK,86,-1.000,185.249,238.174,257.351,539.500,142.415,144.102
CZ,HN,31,141.467,149.365,155.422,157.396,164.604,149.993,149.993
CZ,HR,31,-1.000,15.148,26.095,26.607,28.647,15.897,16.460
CZ,HU,118,-1.000,8.603,17.949,21.195,68.823,7.036,7.105
CZ,ID,467,-1.000,172.609,204.432,257.560,383.357,120.800,122.118
CZ,IE,62,-1.000,32.438,39.982,41.445,48.007,33.067,33.625
CZ,IL,58,-1.000,61.443,71.902,72.898,78.224,36.005,36.654
CZ,IM,31,-1.000,41.254,54.474,55.723,124.340,46.427,48.008
CZ,IN,303,-1.000,215.581,295.930,319.493,431.805,180.329,182.142
CZ,IQ,31,63.849,71.599,82.322,83.477,93.008,72.346,72.346
CZ,IR,289,-1.000,-1.000,88.672,94.155,310.683,29.494,100.296
CZ,IS,31,49.471,57.669,68.257,68.894,80.446,58.418,58.418
CZ,IT,810,-1.000,25.243,45.792,112.128,221.401,32.485,32.819
CZ,JP,603,-1.000,246.923,281.876,328.641,386.445,204.817,206.886
CZ,KE,93,-1.000,156.813,203.711,221.039,302.401,152.837,154.509
